House Number,Street,First Name,Surname,Age,Relationship to Head of House,Marital Status,Gender,Occupation,Infirmity,Religion
10,Hughes Valleys,Mohammad,Kent,32,None,Single,Male,"Nurse, children's",None,None
10,Hughes Valleys,Victoria,Owen,56,None,Single,Female,Herpetologist,None,Christian
10,Hughes Valleys,Marion,Young,41,None,Single,Female,Health physicist,None,Catholic
11,Hughes Valleys,Kimberley,Tyler,36,Head,Single,Female,Unemployed,None,None
11,Hughes Valleys,Darren,Tyler,5,Son,NA,Male,Student,None,NA
11,Hughes Valleys,Susan,Tyler,3,Daughter,NA,Female,Child,None,NA
11,Hughes Valleys,Callum,Smith,1,Son,NA,Male,Child,None,NA
12,Hughes Valleys,Melanie,Barnett,52,Head,Married,Female,Ceramics designer,None,Christian
12,Hughes Valleys,Jason,Barnett,55,Husband,Married,Male,Forensic psychologist,None,Christian
12,Hughes Valleys,Shaun,Barnett,19,Son,Single,Male,University Student,None,Christian
12,Hughes Valleys,Kirsty,Barnett,16,Daughter,NA,Female,Student,None,NA
13,Hughes Valleys,June,Howell,33,Head,Single,Female,"Horticulturist, amenity",None,Catholic
13,Hughes Valleys,Abbie,Howell,2,Daughter,NA,Female,Child,None,NA
13,Hughes Valleys,Kathleen,Howell,0,Daughter,NA,Female,Child,None,NA
13,Hughes Valleys,Robert,Martin,49,Lodger,Single,Male,Product/process development scientist,None,Catholic
14,Hughes Valleys,Beverley,Williamson,58,Head,Married,Female,Estate agent,None,Christian
14,Hughes Valleys,Gerard,Williamson,58,Husband,Married,Male,Mental health nurse,None,Christian
14,Hughes Valleys,Ronald,Williamson,24,Son,Divorced,Male,Naval architect,None,Christian
14,Hughes Valleys,Alexander,Williamson,20,Son,Single,Male,University Student,None,Christian
14,Hughes Valleys,Kerry,Williamson,16,Daughter,NA,Female,Student,None,NA
15,Hughes Valleys,Donna,Lewis,30,Head,Single,Female,Unemployed,None,Christian
15,Hughes Valleys,Jordan,Lewis,6,Son,NA,Male,Student,None,NA
15,Hughes Valleys,Lucy,Lewis,2,Daughter,NA,Female,Child,None,NA
16,Hughes Valleys,Nicola,Brown,50,Head,Single,Female,Astronomer,None,Christian
16,Hughes Valleys,Sean,Hussain,46,None,Single,Male,Ceramics designer,None,Catholic
16,Hughes Valleys,Claire,Marsh,34,None,Single,Female,Hospital pharmacist,None,Catholic
16,Hughes Valleys,Alexandra,Brown,52,None,Single,Female,Actuary,None,None
17,Hughes Valleys,Gillian,Norris,40,Head,Single,Female,Warehouse manager,None,Christian
17,Hughes Valleys,Eileen,Norris,21,Daughter,Single,Female,University Student,None,None
17,Hughes Valleys,Stephen,Norris,20,Son,Single,Male,University Student,None,None
17,Hughes Valleys,Trevor,Norris,16,Son,NA,Male,Student,None,NA
17,Hughes Valleys,Raymond,Norris,12,Son,NA,Male,Student,None,NA
18,Hughes Valleys,Carly,Kirk,36,Head,Single,Female,Corporate treasurer,None,None
19,Hughes Valleys,Jenna,Wilkins,28,Head,Married,Female,Seismic interpreter,None,Christian
19,Hughes Valleys,Antony,Wilkins,29,Husband,Married,Male,"Geologist, engineering",None,Christian
19,Hughes Valleys,Natasha,Wilkins,12,Daughter,NA,Female,Student,None,NA
19,Hughes Valleys,Graeme,Wilkins,12,Son,NA,Male,Student,None,NA
19,Hughes Valleys,Alison,Wilkins,12,Daughter,NA,Female,Student,None,NA
20,Hughes Valleys,Marion,Hill,39,Head,Married,Female,Press sub,None,Christian
20,Hughes Valleys,Elliott,Hill,39,Husband,Married,Male,Armed forces technical officer,None,Christian
20,Hughes Valleys,Julie,Hill,13,Daughter,NA,Female,Student,None,NA
20,Hughes Valleys,Lorraine,Hill,11,Daughter,NA,Female,Student,None,NA
21,Hughes Valleys,Sally,Davies,52,Head,Married,Female,"Clinical scientist, histocompatibility and immunogenetics",None,Christian
21,Hughes Valleys,Douglas,Davies,54,Husband,Married,Male,English as a second language teacher,None,Christian
21,Hughes Valleys,Georgia,Stokes,21,Daughter,Divorced,Female,University Student,None,Christian
21,Hughes Valleys,Barbara,Stokes,5,Daughter,NA,Female,Student,None,NA
22,Hughes Valleys,Kim,Wong,42,Head,Married,Female,Insurance claims handler,None,Christian
22,Hughes Valleys,Ian,Wong,41,Husband,Married,Male,Immigration officer,None,Christian
22,Hughes Valleys,Kieran,Wong,3,Son,NA,Male,Child,None,NA
23,Hughes Valleys,Abigail,Robinson,38,Head,Single,Female,Claims inspector/assessor,None,Christian
23,Hughes Valleys,Charlie,Brown,42,Partner,Single,Male,Licensed conveyancer,None,Christian
23,Hughes Valleys,Matthew,Robinson,0,Adopted Son,NA,Male,Child,None,NA
23,Hughes Valleys,Carol,Stephenson,39,Sibling,Single,Female,"Designer, industrial/product",None,Catholic
24,Hughes Valleys,Diana,Walton,47,Head,Married,Female,Aeronautical engineer,None,None
24,Hughes Valleys,Graham,Walton,51,Husband,Married,Male,Sports therapist,None,None
24,Hughes Valleys,Peter,Walton,19,Son,Single,Male,University Student,None,None
24,Hughes Valleys,Charlene,Walton,16,Daughter,NA,Female,Student,None,NA
25,Hughes Valleys,Louise,Davison,44,Head,Married,Female,Restaurant manager,None,None
25,Hughes Valleys,Sam,Davison,42,Husband,Married,Male,Magazine features editor,None,None
25,Hughes Valleys,Carly,Davison,11,Daughter,NA,Female,Student,None,NA
25,Hughes Valleys,Paige,Davison,7,Daughter,NA,Female,Student,None,NA
25,Hughes Valleys,Sian,Davison,4,Daughter,NA,Female,Child,None,NA
26,Hughes Valleys,Katherine,Goddard,66,Head,Widowed,Female,Water engineer,None,None
26,Hughes Valleys,Nathan,Clements-Goddard,40,Son,Single,Male,Sub,None,None
26,Hughes Valleys,Caroline,Clements-Goddard,38,Daughter,Divorced,Female,"Engineer, broadcasting (operations)",None,None
26,Hughes Valleys,Jonathan,Clements-Goddard,37,Son,Single,Male,Public relations officer,None,None
27,Hughes Valleys,Jemma,Woods,43,Head,Married,Female,Psychiatrist,None,Christian
27,Hughes Valleys,Stanley,May,45,Husband,Married,Male,Regulatory affairs officer,None,Christian
27,Hughes Valleys,Julie,Woods,18,Daughter,Single,Female,Student,None,None
27,Hughes Valleys,Rachael,Woods,16,Daughter,NA,Female,Student,None,NA
28,Hughes Valleys,John,May,44,Head,Single,Male,"Engineer, communications",None,Catholic
28,Hughes Valleys,Marion,Owen,41,Partner,Single,Female,Biomedical engineer,None,Catholic
28,Hughes Valleys,Jessica,May,21,Daughter,Single,Female,University Student,None,None
28,Hughes Valleys,Allan,May,17,Son,NA,Male,Student,None,NA
29,Hughes Valleys,Beth,Giles,65,Head,Married,Female,Pathologist,None,None
29,Hughes Valleys,Dennis,Giles,63,Husband,Married,Male,"Teacher, adult education",None,None
29,Hughes Valleys,Jay,Giles,36,Son,Divorced,Male,Retail manager,None,None
29,Hughes Valleys,Cameron,Hodgson-Giles,32,Son,Divorced,Male,Immigration officer,None,None
30,Hughes Valleys,Kim,Harrison,21,Head,Single,Female,University Student,None,Catholic
30,Hughes Valleys,Josephine,Joyce,21,None,Single,Female,University Student,None,Christian
31,Hughes Valleys,Catherine,Porter,27,Head,Single,Female,"Engineer, petroleum",None,None
31,Hughes Valleys,Dylan,Smith,22,None,Divorced,Male,University Student,None,Orthodoxy
31,Hughes Valleys,Max,Newman,30,None,Single,Male,Water quality scientist,None,None
31,Hughes Valleys,Pamela,Atkinson,49,None,Single,Female,Environmental health practitioner,None,None
32,Hughes Valleys,Shannon,Rhodes,28,Head,Married,Female,Unemployed,None,None
32,Hughes Valleys,Damien,Rhodes,22,Husband,Married,Male,University Student,None,None
32,Hughes Valleys,Heather,Rhodes,10,Daughter,NA,Female,Student,None,NA
32,Hughes Valleys,Ian,Rhodes,6,Son,NA,Male,Student,None,NA
33,Hughes Valleys,Jade,Barrett,74,Head,Widowed,Female,Retired Materials engineer,None,Christian
34,Hughes Valleys,Kyle,Hardy,40,Head,Married,Male,Seismic interpreter,None,Christian
34,Hughes Valleys,Alexandra,Hardy,38,Wife,Married,Female,Ranger/warden,None,Christian
34,Hughes Valleys,John,Hardy,14,Son,NA,Male,Student,None,NA
34,Hughes Valleys,Natalie,Hardy,12,Daughter,NA,Female,Student,None,NA
34,Hughes Valleys,Molly,Hardy,8,Daughter,NA,Female,Student,None,NA
35,Hughes Valleys,Joan,Mitchell,30,Head,Married,Female,"Journalist, newspaper",None,Christian
35,Hughes Valleys,Francis,Mitchell,27,Husband,Married,Male,Professor Emeritus,None,None
35,Hughes Valleys,Jennifer,Mitchell,5,Daughter,NA,Female,Student,None,NA
35,Hughes Valleys,Alison,Mitchell,3,Daughter,NA,Female,Child,None,NA
36,Hughes Valleys,Karen,Edwards,45,Head,Divorced,Female,"Journalist, broadcasting",None,Christian
36,Hughes Valleys,Mark,Edwards,44,Cousin,Divorced,Male,Senior tax professional/tax inspector,None,Christian
36,Hughes Valleys,Jacob,Edwards,46,Cousin,Divorced,Male,Photographer,None,None
36,Hughes Valleys,Hugh,Hughes,62,Cousin,Single,Male,"Pharmacist, hospital",None,Christian
37,Hughes Valleys,Abigail,Harrison,83,Head,Widowed,Female,"Retired Engineer, civil (consulting)",None,Methodist
38,Hughes Valleys,Rosie,Barker,38,Head,Single,Female,"Editor, commissioning",None,Methodist
38,Hughes Valleys,Helen,Barker,6,Daughter,NA,Female,Student,None,NA
38,Hughes Valleys,Roger,Barker,3,Son,NA,Male,Child,None,NA
38,Hughes Valleys,Michelle,Thomas,29,Lodger,Divorced,Female,"Accountant, chartered public finance",None,None
39,Hughes Valleys,Ruth,Wright,67,Head,Single,Female,Adult nurse,None,None
39,Hughes Valleys,Jamie,Newton,63,Partner,Single,Male,Estate manager/land agent,None,None
39,Hughes Valleys,Anthony,Wright,27,Son,Single,Male,Sales promotion account executive,None,None
39,Hughes Valleys,Alexander,Wright,25,Son,Single,Male,Unemployed,None,None
39,Hughes Valleys,Naomi,Wright,25,Daughter,Divorced,Female,Architect,None,None
39,Hughes Valleys,Angela,Wright,15,Daughter,NA,Female,Student,None,NA
40,Hughes Valleys,Leah,Burgess,41,Head,Single,Female,Farm manager,None,Catholic
40,Hughes Valleys,Christopher,Smith,42,Partner,Single,Male,Unemployed,None,None
40,Hughes Valleys,Amanda,Burgess,10,Daughter,NA,Female,Student,None,NA
40,Hughes Valleys,Colin,Burgess,8,Son,NA,Male,Student,None,NA
41,Hughes Valleys,Jasmine,Taylor,34,Head,Married,Female,Medical physicist,None,None
41,Hughes Valleys,Jamie,Taylor,35,Husband,Married,Male,Aeronautical engineer,None,None
41,Hughes Valleys,Graeme,Taylor,8,Son,NA,Male,Student,None,NA
42,Hughes Valleys,Martin,Bond,48,Head,Single,Male,Pathologist,None,Catholic
42,Hughes Valleys,Teresa,Hunter,46,Partner,Single,Female,Mechanical engineer,None,Catholic
42,Hughes Valleys,Dean,Bond,22,Son,Widowed,Male,University Student,None,None
42,Hughes Valleys,Julia,Bond,13,Daughter,NA,Female,Student,None,NA
43,Hughes Valleys,Kate,Daniels,45,Head,Married,Female,Immunologist,None,Christian
43,Hughes Valleys,Connor,Daniels,49,Husband,Married,Male,Customer service manager,None,None
43,Hughes Valleys,Megan,Daniels,14,Daughter,NA,Female,Student,None,NA
43,Hughes Valleys,Dawn,Daniels,13,Daughter,NA,Female,Student,None,NA
44,Hughes Valleys,Lucy,Roberts-Cooke,44,Head,Married,Female,Hospital pharmacist,None,Catholic
44,Hughes Valleys,Ian,Roberts-Cooke,46,Husband,Married,Male,Environmental consultant,None,Catholic
44,Hughes Valleys,Owen,Roberts-Cooke,20,Son,Single,Male,University Student,None,Catholic
44,Hughes Valleys,Jeremy,Roberts-Cooke,16,Son,NA,Male,Student,None,NA
44,Hughes Valleys,Teresa,Roberts-Cooke,16,Daughter,NA,Female,Student,None,NA
44,Hughes Valleys,Francis,Roberts-Cooke,13,Son,NA,Male,Student,None,NA
45,Hughes Valleys,Gregory,Wood,71,Head,Married,Male,"Retired Conservator, museum/gallery",None,Christian
45,Hughes Valleys,Cheryl,Wood,70,Wife,Married,Female,Retired Pension scheme manager,None,Christian
45,Hughes Valleys,Kimberley,Matthews,54,None,Married,Female,Environmental education officer,None,None
45,Hughes Valleys,Leslie,Matthews,55,None,Married,Male,Event organiser,None,None
45,Hughes Valleys,Michelle,Matthews,17,None,NA,Female,Student,None,NA
46,Hughes Valleys,Alice,Ahmed,101,Head,Widowed,Female,"Retired Surveyor, rural practice",None,Christian
47,Hughes Valleys,Judith,Edwards,48,Head,Divorced,Female,"Scientist, biomedical",None,Christian
47,Hughes Valleys,Julie,Edwards,7,Daughter,NA,Female,Student,None,NA
47,Hughes Valleys,Duncan,Edwards,4,Son,NA,Male,Child,None,NA
47,Hughes Valleys,Philip,Edwards,0,Son,NA,Male,Child,None,NA
48,Hughes Valleys,Karl,Rowe,20,Head,Single,Male,University Student,None,NA
48,Hughes Valleys,Ashleigh,Rees,19,None,Single,Female,University Student,None,Christian
48,Hughes Valleys,Justin,Clark,22,None,Single,Male,University Student,None,None
48,Hughes Valleys,Gavin,Kelly,19,None,Single,Male,University Student,None,None
48,Hughes Valleys,Stewart,Taylor,20,None,Single,Male,University Student,None,None
48,Hughes Valleys,Jill,Nicholls,20,None,Single,Female,University Student,None,None
49,Hughes Valleys,Frederick,Sims,59,Head,Single,Male,"Investment banker, operational",None,Christian
1,Phillips Road,Amy,Booth,42,Head,Single,Female,"Geologist, wellsite",None,Catholic
2,Phillips Road,Claire,Byrne,83,Head,Divorced,Female,Retired Education administrator,None,Christian
3,Phillips Road,Jodie,Thompson,71,Head,Divorced,Female,Retired Probation officer,None,Christian
4,Phillips Road,Andrew,Wright,21,Head,Married,Male,University Student,None,Methodist
4,Phillips Road,Lynn,Wright,23,Wife,Married,Female,Air broker,None,Methodist
5,Phillips Road,Elliott,Goodwin,83,Head,Widowed,Male,Retired Medical secretary,None,None
6,Phillips Road,Tracy,Marsh,18,Head,Divorced,Female,Student,None,NA
7,Phillips Road,Sian,Walters,84,Head,Divorced,Female,Retired Operational investment banker,None,Methodist
8,Phillips Road,Marc,Moran,80,Head,Divorced,Male,"Retired Research officer, government",None,Christian
9,Phillips Road,Kim,Sullivan,54,Head,Single,Female,"Restaurant manager, fast food",None,Christian
10,Phillips Road,Olivia,Farrell,44,Head,Divorced,Female,Tax inspector,None,Methodist
10,Phillips Road,Mark,Farrell,12,Son,NA,Male,Student,None,NA
11,Phillips Road,Derek,Charlton,23,Head,Single,Male,Writer,Deaf,Christian
12,Phillips Road,Max,Hartley,54,Head,Single,Male,Gaffer,None,Catholic
13,Phillips Road,Garry,Hussain,71,Head,Divorced,Male,Retired Database administrator,None,Methodist
14,Phillips Road,Louise,Robinson,84,Head,Widowed,Female,"Retired Development worker, community",None,Christian
15,Phillips Road,Melissa,Williams,26,Head,Divorced,Female,Operations geologist,None,Catholic
16,Phillips Road,Steven,Davis,68,Head,Widowed,Male,"Retired Programmer, multimedia",None,Christian
17,Phillips Road,Chloe,Turner,42,Head,Single,Female,Financial risk analyst,None,None
18,Phillips Road,Ellie,O'Sullivan,51,Head,Single,Female,Unemployed,None,None
18,Phillips Road,George,O'Sullivan,24,Son,Single,Male,Production engineer,None,None
19,Phillips Road,Lydia,Griffiths,33,Head,Single,Female,Landscape architect,None,Methodist
19,Phillips Road,Carl,Griffiths,2,Nephew,NA,Male,Child,None,NA
20,Phillips Road,Alan,Bailey,34,Head,Single,Male,Chief Technology Officer,None,Methodist
21,Phillips Road,Charlene,Edwards,84,Head,Widowed,Female,"Retired Restaurant manager, fast food",None,None
22,Phillips Road,Alison,Buckley,71,Head,Single,Female,"Retired Restaurant manager, fast food",None,None
23,Phillips Road,Sandra,Ward,56,Head,Married,Female,Advertising art director,None,Catholic
23,Phillips Road,Joe,Ward,58,Husband,Married,Male,"Pilot, airline",None,Catholic
23,Phillips Road,Jayne,Ward,20,Daughter,Single,Female,University Student,None,Catholic
23,Phillips Road,Kenneth,Ward,17,Son,NA,Male,Student,None,NA
24,Phillips Road,Billy,Scott,56,Head,Single,Male,"Engineer, electrical",None,Christian
25,Phillips Road,Dominic,Adams,73,Head,Divorced,Male,Retired Professor Emeritus,None,None
26,Phillips Road,Jonathan,Thomas,31,Head,Single,Male,Acupuncturist,None,Christian
26,Phillips Road,Yvonne,Harper,31,Partner,Single,Female,"Radiographer, therapeutic",None,Christian
27,Phillips Road,Daniel,Davies,67,Head,Married,Male,Insurance claims handler,None,Methodist
27,Phillips Road,Eileen,Davies,65,Wife,Married,Female,Unemployed,None,None
28,Phillips Road,Marilyn,Poole,65,Head,Divorced,Female,Estate manager/land agent,None,Methodist
1,Hollywood Ferry,Joseph,Day,31,Head,Single,Male,Sales executive,None,Catholic
1,Hollywood Ferry,George,White,41,None,Single,Male,Brewing technologist,None,Methodist
2,Hollywood Ferry,Kenneth,Begum,50,Head,Divorced,Male,Fashion designer,None,Jewish
3,Hollywood Ferry,Zoe,Gill,63,Head,Single,Female,Air cabin crew,None,Methodist
4,Hollywood Ferry,Matthew,Turner,28,Head,Single,Male,Aid worker,None,None
5,Hollywood Ferry,Georgina,Daly,18,Head,Single,Female,Student,None,NA
6,Hollywood Ferry,Mohamed,Burns,36,Head,Single,Male,Broadcast presenter,None,Christian
7,Hollywood Ferry,Gordon,Mann,72,Head,Married,Male,Retired Production manager,None,Christian
7,Hollywood Ferry,Lindsey,Mann,71,Wife,Married,Female,Retired Multimedia programmer,None,Christian
8,Hollywood Ferry,Abbie,Hughes,65,Head,Widowed,Female,Corporate investment banker,None,None
8,Hollywood Ferry,Diane,Hughes,39,Daughter,Single,Female,Unemployed,None,None
8,Hollywood Ferry,Amy,Hughes,36,Daughter,Single,Female,"Investment banker, operational",None,None
8,Hollywood Ferry,Bruce,King-Hughes,32,Son,Single,Male,"Surveyor, insurance",None,None
9,Hollywood Ferry,Leah,Thomas,43,Head,Divorced,Female,Unemployed,None,None
9,Hollywood Ferry,Richard,Thomas,1,Son,NA,Male,Child,None,NA
9,Hollywood Ferry,Natasha,Thomas,0,Daughter,NA,Female,Child,None,NA
10,Hollywood Ferry,Denis,Pearce,53,Head,Single,Male,English as a foreign language teacher,None,None
11,Hollywood Ferry,Raymond,Stephens,82,Head,Widowed,Male,Unemployed,None,Christian
12,Hollywood Ferry,Gregory,Mason,73,Head,Widowed,Male,Retired Licensed conveyancer,None,Christian
13,Hollywood Ferry,Claire,Lewis,33,Head,Single,Female,Television production assistant,None,Methodist
14,Hollywood Ferry,Elizabeth,Green,26,Head,Single,Female,Curator,None,None
15,Hollywood Ferry,Lee,Young,30,Head,Single,Male,"Editor, film/video",None,Sikh
16,Hollywood Ferry,Tracey,Thompson,88,Head,Widowed,Female,Retired Chief Financial Officer,None,Christian
17,Hollywood Ferry,Suzanne,Duffy,47,Head,Single,Female,Insurance risk surveyor,None,Christian
18,Hollywood Ferry,Sophie,McDonald,72,Head,Single,Female,Retired Retail merchandiser,None,Catholic
1,Jones Lane,Donna,Webster,32,Head,Single,Female,Planning and development surveyor,None,Christian
1,Jones Lane,Lynn,Webster,1,Daughter,NA,Female,Child,None,NA
1,Jones Lane,Conor,Lee,45,Lodger,Single,Male,Hospital doctor,None,Christian
1,Jones Lane,Barry,Watts,24,Lodger,Divorced,Male,"Producer, television/film/video",None,Christian
1,Jones Lane,Carolyn,Wilkinson,24,Lodger,Single,Female,Unemployed,None,None
2,Jones Lane,Jasmine,Russell,62,Head,Married,Female,"Psychotherapist, dance movement",None,Christian
2,Jones Lane,Ian,Russell,62,Husband,Married,Male,Data processing manager,None,Christian
2,Jones Lane,Stacey,Bennett-Russell,31,Daughter,Divorced,Female,"Nurse, adult",None,Christian
2,Jones Lane,Paul,Bennett-Russell,29,Son,Divorced,Male,"Teacher, music",None,Christian
2,Jones Lane,Guy,Bennett-Russell,26,Adopted Son,Single,Male,Television/film/video producer,None,None
3,Jones Lane,Tracy,White,72,Head,Widowed,Female,Unemployed,None,Methodist
3,Jones Lane,Eleanor,White,44,Daughter,Single,Female,Television production assistant,None,Christian
3,Jones Lane,Graeme,White,40,Son,Single,Male,Outdoor activities/education manager,None,None
3,Jones Lane,Eleanor,White,36,Daughter,Single,Female,Politician's assistant,None,None
3,Jones Lane,Katherine,White,29,Daughter,Single,Female,"Scientist, marine",None,Methodist
4,Jones Lane,Sally,Smith,35,Head,Married,Female,Operational investment banker,None,Catholic
4,Jones Lane,Ronald,Smith,42,Husband,Married,Male,Public librarian,None,Catholic
4,Jones Lane,Allan,Smith,8,Son,NA,Male,Student,None,NA
4,Jones Lane,Megan,Smith,7,Daughter,NA,Female,Student,None,NA
4,Jones Lane,Amelia,Smith,6,Daughter,NA,Female,Student,None,NA
5,Jones Lane,Emma,King,34,Head,Widowed,Female,Ophthalmologist,None,None
5,Jones Lane,Bethany,King,5,Daughter,NA,Female,Student,None,NA
5,Jones Lane,Brandon,King,3,Son,NA,Male,Child,None,NA
5,Jones Lane,Jack,King,2,Son,NA,Male,Child,None,NA
5,Jones Lane,Melissa,King,2,Daughter,NA,Female,Child,None,NA
6,Jones Lane,Heather,Dixon,65,Head,Married,Female,Physiotherapist,None,None
6,Jones Lane,Norman,Dixon-Griffin,66,Husband,Married,Male,"Engineer, production",None,None
6,Jones Lane,Jenna,Dixon-Griffin,28,Daughter,Single,Female,"Doctor, hospital",None,None
6,Jones Lane,Marilyn,Dixon-Griffin,24,Daughter,Single,Female,Information officer,None,None
6,Jones Lane,Anna,Dixon-Griffin,21,Daughter,Divorced,Female,University Student,None,None
6,Jones Lane,Thomas,Dixon-Griffin,18,Son,Single,Male,Student,None,None
6,Jones Lane,Declan,Dixon-Griffin,16,Son,NA,Male,Student,None,NA
6,Jones Lane,Peter,Dixon-Griffin,16,Son,NA,Male,Student,None,NA
6,Jones Lane,Amy,Dixon-Griffin,16,Daughter,NA,Female,Student,None,NA
6,Jones Lane,Stuart,Dixon-Griffin,15,Son,NA,Male,Student,None,NA
6,Jones Lane,Robert,Dixon-Griffin,12,Son,NA,Male,Student,None,NA
6,Jones Lane,Barry,Dixon-Griffin,9,Son,NA,Male,Student,None,NA
7,Jones Lane,Dorothy,Cox,71,Head,Married,Female,Retired Archivist,None,Christian
7,Jones Lane,Craig,Cox,73,Husband,Married,Male,Retired Recruitment consultant,None,Christian
7,Jones Lane,Declan,Cox,27,Son,Single,Male,Dramatherapist,None,Christian
7,Jones Lane,Sophie,Cox,23,Daughter,Divorced,Female,Architectural technologist,None,Christian
7,Jones Lane,Amy,Cox,22,Daughter,Single,Female,University Student,None,Christian
7,Jones Lane,Claire,Cox,20,Daughter,Single,Female,Unemployed,None,None
7,Jones Lane,Abbie,Cox,17,Daughter,NA,Female,Student,None,NA
7,Jones Lane,Rachael,Cox,14,Daughter,NA,Female,Student,None,NA
7,Jones Lane,Antony,Cox,12,Son,NA,Male,Student,None,NA
8,Jones Lane,Susan,Phillips,35,Head,Widowed,Female,Recycling officer,None,None
8,Jones Lane,Barry,Phillips,15,Son,NA,Male,Student,None,NA
8,Jones Lane,Brandon,Phillips,12,Son,NA,Male,Student,None,NA
8,Jones Lane,Fiona,Phillips,6,Daughter,NA,Female,Student,None,NA
9,Jones Lane,Teresa,Jackson,38,Head,Married,Female,"Teacher, English as a foreign language",None,Catholic
9,Jones Lane,Jonathan,Jackson,42,Husband,Married,Male,Careers information officer,None,Catholic
9,Jones Lane,Wayne,Jackson,1,Son,NA,Male,Child,None,NA
9,Jones Lane,Adam,Bailey,52,Sibling,Single,Male,"Engineer, production",None,Christian
9,Jones Lane,Patricia,Randall,45,Lodger,Single,Female,Lobbyist,None,Catholic
10,Jones Lane,Denis,Taylor,58,Head,Single,Male,Make,None,Methodist
11,Jones Lane,Cheryl,John,72,Head,Married,Female,"Retired Loss adjuster, chartered",None,Christian
11,Jones Lane,George,John,71,Husband,Married,Male,Retired Quarry manager,None,Christian
11,Jones Lane,Daniel,John,55,Son,Single,Male,Gaffer,None,Christian
11,Jones Lane,Geraldine,John,52,Daughter,Divorced,Female,Unemployed,None,Christian
11,Jones Lane,Danny,Young,52,Son,Single,Male,Unemployed,None,None
11,Jones Lane,Dylan,Young,48,Son,Single,Male,Unemployed,None,Christian
11,Jones Lane,Andrew,Young,48,Son,Single,Male,Oncologist,None,None
11,Jones Lane,Diana,Young,45,Daughter,Single,Female,Retail manager,None,None
11,Jones Lane,Thomas,Young,43,Son,Single,Male,"Psychotherapist, child",None,Christian
11,Jones Lane,Leanne,Young,39,Daughter,Widowed,Female,Geophysical data processor,None,None
11,Jones Lane,Bernard,Young,35,Son,Single,Male,Orthoptist,None,None
11,Jones Lane,Jacqueline,Young,31,Daughter,Single,Female,Unemployed,None,Christian
12,Jones Lane,Rita,Phillips,48,Head,Divorced,Female,"Geologist, wellsite",None,None
12,Jones Lane,Terry,Davies,55,Lodger,Single,Male,Psychiatric nurse,None,Muslim
12,Jones Lane,Paige,Harding,39,Lodger,Single,Female,Regulatory affairs officer,None,None
12,Jones Lane,William,Dawson,52,Lodger,Single,Male,Education administrator,None,Catholic
12,Jones Lane,Barry,Dobson,55,Lodger,Single,Male,Arts administrator,None,Christian
13,Jones Lane,Sally,Cole,50,Head,Married,Female,Records manager,Disabled,None
13,Jones Lane,Ryan,Cole,55,Husband,Married,Male,Hotel manager,None,None
13,Jones Lane,Hugh,Cole,10,Son,NA,Male,Student,None,NA
13,Jones Lane,Max,Cole,8,Son,NA,Male,Student,None,NA
13,Jones Lane,Conor,Cole,6,Son,NA,Male,Student,None,NA
14,Jones Lane,Jane,Sanders,38,Head,Divorced,Female,Unemployed,None,None
14,Jones Lane,Sian,Mitchell,62,Sibling,Single,Female,"Physicist, medical",None,None
14,Jones Lane,Patrick,Steele,18,Lodger,Single,Male,Student,None,NA
14,Jones Lane,Joel,Bates,42,Lodger,Single,Male,Careers adviser,None,Catholic
14,Jones Lane,Harriet,Wilson,32,Lodger,Divorced,Female,Unemployed,None,None
15,Jones Lane,Paige,Barnes,47,Head,Married,Female,Diagnostic radiographer,None,None
15,Jones Lane,Denis,Barnes,54,Husband,Married,Male,Physiotherapist,None,None
15,Jones Lane,Frances,Barnes,14,Daughter,NA,Female,Student,None,NA
15,Jones Lane,Frances,Barnes,13,Daughter,NA,Female,Student,None,NA
15,Jones Lane,Paige,Barnes,10,Daughter,NA,Female,Student,None,NA
15,Jones Lane,Alan,Barnes,0,Son,NA,Male,Child,None,NA
15,Jones Lane,Karen,Phillips,44,Lodger,Single,Female,"Lighting technician, broadcasting/film/video",None,None
15,Jones Lane,Amber,Evans,62,Lodger,Single,Female,"Psychotherapist, dance movement",None,Christian
16,Jones Lane,Alison,Gray,33,Head,Married,Female,Operations geologist,None,Christian
16,Jones Lane,Graham,Gray,35,Husband,Married,Male,"Scientist, product/process development",None,Christian
16,Jones Lane,Ashley,Gray,8,Son,NA,Male,Student,None,NA
16,Jones Lane,Sophie,Gray,6,Daughter,NA,Female,Student,None,NA
16,Jones Lane,Ronald,Gray,2,Son,NA,Male,Child,None,NA
17,Jones Lane,Hazel,Baker,49,Head,Married,Female,Neurosurgeon,None,None
17,Jones Lane,Denis,Baker,50,Husband,Married,Male,Film/video editor,None,None
17,Jones Lane,Darren,Baker,4,Grandson,NA,Male,Child,None,NA
17,Jones Lane,Carl,Hill-Baker,3,Grandson,NA,Male,Child,None,NA
17,Jones Lane,Marion,Gill,2,Granddaughter,NA,Female,Child,None,NA
18,Jones Lane,Melissa,Watts,53,Head,Married,Female,Food technologist,None,Sikh
18,Jones Lane,Jake,Watts,54,Husband,Married,Male,Arts administrator,None,Sikh
18,Jones Lane,Frank,Watts,20,Son,Widowed,Male,"Scientist, research (life sciences)",None,Sikh
18,Jones Lane,Carl,Watts,15,Son,NA,Male,Student,None,NA
18,Jones Lane,Shirley,Watts,11,Daughter,NA,Female,Student,None,NA
